#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
587|SERVICIOS WEB|PROPIETARIO|F|39|SAN ISIDRO|LIMA|ESPAÑOLA|2023|SEPTIEMBRE|0|E|ESPAÑOLA|2023-09-26
588|SERVICIOS WEB|PROPIETARIO|M|32|COMAS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
589|SERVICIOS WEB|PROPIETARIO|F|27|LA MOLINA|LIMA|VENEZOLANA|2023|SEPTIEMBRE|13|E|VENEZOLANA|2023-09-26
590|SERVICIOS WEB|PROPIETARIO|F|33|SAN JUAN DE MIRAFLORES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
591|SERVICIOS WEB|PROPIETARIO|M|49|PIURA|PIURA|CHILENA|2023|SEPTIEMBRE|3|E|CHILENA|2023-09-26
592|SERVICIOS WEB|PROPIETARIO|F|38|MIRAFLORES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
593|SERVICIOS WEB|PROPIETARIO|F|42|SAN ISIDRO|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-26
594|SERVICIOS WEB|PROPIETARIO|M|49|SAN ISIDRO|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-26
595|SERVICIOS WEB|PROPIETARIO|M|48|MIRAFLORES|LIMA|CHILENA|2023|SEPTIEMBRE|140|E|CHILENA|2023-09-26
596|SERVICIOS WEB|PROPIETARIO|M|60|MIRAFLORES|LIMA|BRASILERA|2023|SEPTIEMBRE|108|E|BRASILERA|2023-09-26
597|SERVICIOS WEB|PROPIETARIO|F|38|MIRAFLORES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|2|E|VENEZOLANA|2023-09-26
598|SERVICIOS WEB|PROPIETARIO|M|31|COMAS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
599|SERVICIOS WEB|PROPIETARIO|F|34|SAN MIGUEL|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
600|SERVICIOS WEB|PROPIETARIO|M|22|SAPOSOA|SAN MARTIN|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-26
601|SERVICIOS WEB|PROPIETARIO|M|51|<NO DEFINIDO>|<NO DEFINIDO>|COLOMBIANA|2023|SEPTIEMBRE|41|E|COLOMBIANA|2023-09-25
602|SERVICIOS WEB|PROPIETARIO|F|52|JESUS MARIA|LIMA|ALEMANA|2023|SEPTIEMBRE|20|E|ALEMANA|2023-09-25
603|SERVICIOS WEB|PROPIETARIO|M|52|CALLAO|CALLAO|ESTADOUNIDENSE|2023|SEPTIEMBRE|0|E|ESTADOUNIDENSE|2023-09-25
604|SERVICIOS WEB|PROPIETARIO|F|28|SAN ISIDRO|LIMA|CHINA|2023|SEPTIEMBRE|1|E|CHINA|2023-09-25
605|SERVICIOS WEB|PROPIETARIO|M|39|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-25
606|SERVICIOS WEB|PROPIETARIO|F|29|PIURA|PIURA|ECUATORIANA|2023|SEPTIEMBRE|9|E|ECUATORIANA|2023-09-25
607|SERVICIOS WEB|PROPIETARIO|M|38|COMAS|LIMA|COLOMBIANA|2023|SEPTIEMBRE|4|E|COLOMBIANA|2023-09-25
608|SERVICIOS WEB|PROPIETARIO|F|44|LIMA|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-25
